,Name,Photo,Flag,Club Logo
126, A. Wan-Bissaka,https://cdn.sofifa.com/players/229/880/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/11/light_30.png
127, L. Goretzka,https://cdn.sofifa.com/players/209/658/20_60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/21/light_30.png
128, D. Zakaria,https://cdn.sofifa.com/players/229/261/20_60.png,https://cdn.sofifa.com/flags/ch.png,https://cdn.sofifa.com/teams/23/light_30.png
129, Kepa,https://cdn.sofifa.com/players/206/585/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/5/light_30.png
130, S. Dest,https://cdn.sofifa.com/players/251/804/20_60.png,https://cdn.sofifa.com/flags/us.png,https://cdn.sofifa.com/teams/245/light_30.png
131, V. Mykolenko,https://cdn.sofifa.com/players/244/380/20_60.png,https://cdn.sofifa.com/flags/ua.png,https://cdn.sofifa.com/teams/101047/light_30.png
132, E. Barco,https://cdn.sofifa.com/players/236/007/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/112885/light_30.png
133, David Raya,https://cdn.sofifa.com/players/220/901/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1925/light_30.png
134, J. Grealish,https://cdn.sofifa.com/players/206/517/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/2/light_30.png
135, M. de Ligt,https://cdn.sofifa.com/players/235/243/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/45/light_30.png
136, Neymar Jr,https://cdn.sofifa.com/players/190/871/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/73/light_30.png
137, Marçal,https://cdn.sofifa.com/players/207/707/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/66/light_30.png
138, M. Kudus,https://cdn.sofifa.com/players/245/155/20_60.png,https://cdn.sofifa.com/flags/gh.png,https://cdn.sofifa.com/teams/1788/light_30.png
139, N. Domínguez,https://cdn.sofifa.com/players/237/819/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/189/light_30.png
140, L. Jović,https://cdn.sofifa.com/players/232/432/20_60.png,https://cdn.sofifa.com/flags/rs.png,https://cdn.sofifa.com/teams/243/light_30.png
141, P. Daka,https://cdn.sofifa.com/players/241/202/20_60.png,https://cdn.sofifa.com/flags/zm.png,https://cdn.sofifa.com/teams/191/light_30.png
142, A. Hrustić,https://cdn.sofifa.com/players/237/647/20_60.png,https://cdn.sofifa.com/flags/au.png,https://cdn.sofifa.com/teams/1915/light_30.png
143, D. James,https://cdn.sofifa.com/players/232/104/20_60.png,https://cdn.sofifa.com/flags/gb-wls.png,https://cdn.sofifa.com/teams/11/light_30.png
144, D. Malen,https://cdn.sofifa.com/players/231/447/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/247/light_30.png
145, L. Digne,https://cdn.sofifa.com/players/200/458/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/7/light_30.png
146, Florentino,https://cdn.sofifa.com/players/234/569/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/234/light_30.png
147, G. Reyna,https://cdn.sofifa.com/players/245/541/20_60.png,https://cdn.sofifa.com/flags/us.png,https://cdn.sofifa.com/teams/22/light_30.png
148, G. Diangana,https://cdn.sofifa.com/players/231/436/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/109/light_30.png
149, T. Abraham,https://cdn.sofifa.com/players/231/352/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/5/light_30.png
150, J. Gomez,https://cdn.sofifa.com/players/225/100/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/9/light_30.png
151, A. Gomes,https://cdn.sofifa.com/players/240/507/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/11/light_30.png
152, J. Vagnoman,https://cdn.sofifa.com/players/242/602/20_60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/28/light_30.png
153, O. Watkins,https://cdn.sofifa.com/players/221/697/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1925/light_30.png
154, A. Isak,https://cdn.sofifa.com/players/233/731/20_60.png,https://cdn.sofifa.com/flags/se.png,https://cdn.sofifa.com/teams/457/light_30.png
155, E. Palacios,https://cdn.sofifa.com/players/231/521/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/32/light_30.png
156, Y. Mina,https://cdn.sofifa.com/players/220/523/20_60.png,https://cdn.sofifa.com/flags/co.png,https://cdn.sofifa.com/teams/7/light_30.png
157, A. Martial,https://cdn.sofifa.com/players/211/300/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/11/light_30.png
158, H. Kane,https://cdn.sofifa.com/players/202/126/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/18/light_30.png
159, K. Phillips,https://cdn.sofifa.com/players/224/081/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/8/light_30.png
160, D. Henderson,https://cdn.sofifa.com/players/233/306/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1794/light_30.png
161, N. Mukiele,https://cdn.sofifa.com/players/226/166/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/112172/light_30.png
162, Emerson,https://cdn.sofifa.com/players/247/204/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/449/light_30.png
163, Luiz Felipe,https://cdn.sofifa.com/players/236/355/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/46/light_30.png
164, O. Edouard,https://cdn.sofifa.com/players/233/866/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/78/light_30.png
165, V. van Dijk,https://cdn.sofifa.com/players/203/376/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/9/light_30.png
166, Éder Militão,https://cdn.sofifa.com/players/240/130/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/243/light_30.png
167, A. Areola,https://cdn.sofifa.com/players/193/105/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/243/light_30.png
168, D. Zagadou,https://cdn.sofifa.com/players/238/476/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/22/light_30.png
169, M. Simakan,https://cdn.sofifa.com/players/243/854/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/76/light_30.png
170, Nathan Júnior,https://cdn.sofifa.com/players/207/866/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/1892/light_30.png
171, R. Lewandowski,https://cdn.sofifa.com/players/188/545/20_60.png,https://cdn.sofifa.com/flags/pl.png,https://cdn.sofifa.com/teams/21/light_30.png
172, P. De la Vega,https://cdn.sofifa.com/players/246/045/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/110395/light_30.png
173, J. Frimpong,https://cdn.sofifa.com/players/253/149/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/78/light_30.png
